country_name,Capital_name,population,gdpPerCapita,Wealth_in_USD,currency_name,currency_code,Human_development_index,Human_development_index_rank
Senegal,Dakar,13508715,986,2525,West African CFA franc,XOF,0.485,163
Sierra Leone,Freetown,7075641,708,1534,Sierra Leonean leone,SLL,0.413,181
Slovakia,Bratislava,5397036,16138,29209,Euro sign,EURb,0.844,35
Slovenia,Ljubljana,1964036,21369,32027,Euro,EUR,0.88,25
South Africa,Cape Town,51770560,5859,13321,South African rand,ZAR,0.666,116
South Africa,Pretoria,51770560,5859,13321,South African rand,ZAR,0.666,116
South Africa,Bloemfontein,51770560,5859,13321,South African rand,ZAR,0.666,116
South Sudan,Juba,8260490,1139,1886,South Sudanese pound,SSP,0.467,169
Spain,Madrid,46423064,26823,36143,Euro,EUR,0.876,26
Sri Lanka,Colombo,20277597,3870,11189,Sri Lankan rupee,LKR,0.757,73
Sri Lanka,Sri Jayawardenepura Kotte,20277597,3870,11189,Sri Lankan rupee,LKR,0.757,73
Sudan,Khartoum,30894000,4500,4834,Sudanese pound,SDG,0.473,166
Suriname,Paramaribo,541638,9583,16623,Surinamese dollar,SRD,0.714,103
Swaziland,Mbabane,1018449,3847,9782,Swazi lilangeni,SZL,0.531,150
Swaziland,Lobamba,1018449,3847,9782,Swazi lilangeni,SZL,0.531,150
Sweden,Stockholm,9658301,48966,47319,Swedish krona,SEK,0.907,14
Switzerland,Bern,8139600,78179,59150,Swiss franc,CHF,0.93,3
São Tomé and Príncipe,São Tomé,192993,1715,3403,São Tomé and Príncipe dobra,STD,0.555,143
Tajikistan,Dushanbe,7564500,949,2247,Somoni,TJS,0.624,129
Tanzania,Dodoma,44928923,963,3080,Tanzanian shilling,TZS,0.521,151
Thailand,Bangkok,64785909,5938,16706,Thai baht,THB,0.726,93
The Gambia,Banjul,1882450,371,1715,Gambian dalasi,GMD,0.441,172
Third Hellenic Republic,Athens,10815197,18035,26606,Euro,EUR,0.865,29
Togo,Lomé,5337000,610,1567,CFA franc,XOF,0.473,166
Tonga,Nukuʻalofa,103036,4220,7344,Tongan paʻanga,TOP,0.717,100
Trinidad and Tobago,Port of Spain,1328019,17455,32432,Trinidad and Tobago dollar,TTD,0.772,64
Turkey,Ankara,79463663,9562,21198,Turkish lira,TRY,0.761,72
Ukraine,Kiev,48457102,2052,8230,Ukrainian hryvnia,UAH,0.747,81
Una-Sana Canton,Bihać,299343,4153.19,,Bosnia and Herzegovina convertible mark,,,
United Arab Emirates,Abu Dhabi,4106427,36060,67616,United Arab Emirates dirham,AED,0.835,41
United Kingdom,London,63181775,43902,42514,Pound sterling,GBP; Pound sign£,0.907,14
Uruguay,Montevideo,3286314,15505,21944,Uruguayan peso,UYU,0.793,52
Vanuatu,Port Vila,243304,3036,4916,Vanuatu vatu,VUV,0.594,134
Venezuela,Caracas,31416000,5908,15251,Venezuelan bolívar,VEF,0.762,71
Wallis and Futuna,Mata-Utu,12197,12640,,CFP franc,XPF,0.793,132
West Herzegovina Canton,Široki Brijeg,97893,4976.97,,Bosnia and Herzegovina convertible mark,,,
Yemen,Abd Rabbuh Mansur Hadi,19685000,1437,2927,Yemeni rial,YER,0.5,154
Yemen,Aden,19685000,1437,2927,Yemeni rial,YER,0.5,154
Yemen,Sana'a,19685000,1437,2927,Yemeni rial,YER,0.5,154
Zambia,Lusaka,13092666,,3917,Zambian kwacha,ZMW,0.586,139
Zanzibar,Zanzibar City,1303569,656,,Tanzanian shilling,TZS,,
Zimbabwe,Harare,13061239,1054,2133,Botswana pula,,0.509,155
Zimbabwe,Harare,13061239,1054,2133,United States dollar,,0.509,155
Zimbabwe,Harare,13061239,1054,2133,South African rand,,0.509,155
